#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
39,Aaron Schunk,668845,668845,sa3009957,COL,3B,3B
40,Aaron Shackelford,687823,687823,sa1169950,PIT,3B,3B
41,Aaron Shortridge,663336,663336,sa3006759,PIT,SP,SP
42,Aaron Slegers,642083,642083,15231,TB,RP,RP
43,Aaron Whitefield,664334,664334,19938,LAA,OF,OF
44,Aaron Wilkerson,658792,16904,16904,FA,RP,RP
45,Aaron Zavala,701648,701648,sa3017665,TEX,OF,OF
46,Abdias De La Cruz,703192,703192,,ARI,,
47,Abdiel Layer,676075,676075,sa3007291,SF,SS,SS
48,Abdiel Mendoza,665959,665959,sa916829,TOR,SP,SP
49,Abdiel Saldana,650605,650605,sa828523,FA,SP,SP
50,Abel Bastidas,694201,694201,sa3015709,DET,SS,SS
51,Abel Noguera,683558,683558,sa3009308,TEX,C,C
52,Abelaldo Lopez,691445,691445,sa3015545,DET,OF,OF
53,Abiatal Avelino,623214,623214,15496,FA,SS,SS
54,Abiezel Ramirez,672656,672656,sa3003282,TB,SS,SS
55,Abimelec Ortiz,694673,694673,sa3016926,TEX,1B,1B
